task	1M	48M	317M
acrobot-swingup	11.4	11.6	28.0
cartpole-balance	370.5	996.6	996.5
cartpole-balance-sparse	103.0	1000.0	1000.0
cartpole-swingup	241.6	0.6	754.3
cartpole-swingup-sparse	0.0	0.0	522.0
cheetah-jump	193.9	362.8	713.2
cheetah-run	12.3	30.2	840.5
cheetah-run-back	22.1	188.9	377.4
cheetah-run-backwards	109.0	479.1	110.9
cheetah-run-front	58.3	98.5	553.2
cup-catch	464.0	868.0	973.5
cup-spin	232.8	831.7	837.2
finger-spin	359.5	942.0	927.0
finger-turn-easy	0.0	936.0	981.0
finger-turn-hard	0.0	977.5	978.0
fish-swim	49.0	428.4	360.4
hopper-hop	0.0	87.4	56.1
hopper-hop-backwards	0.0	355.4	637.7
hopper-stand	0.0	491.9	728.6
pendulum-spin	539.4	871.9	882.0
pendulum-swingup	0.0	846.5	889.5
reacher-easy	0.0	977.5	985.0
reacher-hard	0.0	975.0	981.5
reacher-three-easy	0.0	975.5	975.0
reacher-three-hard	883.5	451.5	978.0
walker-run	99.5	605.3	596.1
walker-run-backwards	123.5	207.5	600.3
walker-stand	563.3	997.2	998.1
walker-walk	229.1	981.7	972.2
walker-walk-backwards	102.8	981.8	942.9
